idx,wav_file,text,duration,mean_speech_prob,dbfs,shard,row_index
0,pl_00000_filtered-train-00017-of-00082_r0.wav,time the government decided not to do a renewal and to nationalize but he gave the company basically weeks nationalize means take over take over the company as but he gave the company literally weeks and if you've seen a mine before we're not talking of small infrastructure even the decommissioning so that you don't,14.319999694824219,0.9207000136375427,-19.1299991607666,filtered-train-00017-of-00082.parquet,0
1,pl_00001_filtered-train-00017-of-00082_r5.wav,such suspension would have had financial consequence for EMP etc. So once you you get sued and you're doing your research you try to justify your case. So the issue was to look for evidence of financial challenges at EMP which I I had some evidence but look for more,14.880000114440918,0.9276000261306763,-20.149999618530273,filtered-train-00017-of-00082.parquet,5
2,pl_00002_filtered-train-00017-of-00082_r10.wav,vulture are additionally complicated because there are significant public interest issues beyond just what I've just described beyond my legal related matters my research in relation to the legal matters in Ghana the government,13.520000457763672,0.854200005531311,-19.68000030517578,filtered-train-00017-of-00082.parquet,10
3,pl_00003_filtered-train-00017-of-00082_r18.wav,by regulators and civil society organizations have a seat at that table. We have the right to request information. We have the right to look into information. It's actually the fact that sometimes we don't actually comply with our own obligations that these matters become opaque. But other than,13.359999656677246,0.8927000164985657,-20.700000762939453,filtered-train-00017-of-00082.parquet,18
4,pl_00004_filtered-train-00017-of-00082_r23.wav,"standards are very very very high. So, you have to do a whole bunch of due diligence etc on it. Now how do you do due diligence when the owner of the asset who is the one who has all the information and the likes of it is not participating who are you asking critical questions in the likes of it",14.079999923706055,0.882099986076355,-19.81999969482422,filtered-train-00017-of-00082.parquet,23
5,pl_00005_filtered-train-00017-of-00082_r28.wav,but mining is particularly capital intensive. So thase process and it takes a long time to actually develop a mine. So thase process hasas been thasat you start and as you move along you bring money in as thase project is derisked as more gold is found and it's discovered thasat you can,13.359999656677246,0.9025999903678894,-20.25,filtered-train-00017-of-00082.parquet,28
6,pl_00006_filtered-train-00017-of-00082_r31.wav,banks don't want 20 year projects usually in thasis country it's not very often occasionally you may get a bank get involved in gold investment but it's very rare so thasey went to thase Australian stock exchasange and thase way thasat thasey went was thasat it you know hase hasad partners whaso were providing different kind of services to get thase thasing going,14.880000114440918,0.9458000063896179,-19.770000457763672,filtered-train-00017-of-00082.parquet,31
7,pl_00007_filtered-train-00017-of-00082_r41.wav,"economical fully to remove it. Whasen you know it's economical to remove it, we call it a reserve. So you are defining thase resource and by thasis point you now hasave some confidence to define a reserve whasichas at thasat time was about 600,000 ounces. You can see thasat by thase time Ira",13.84000015258789,0.8604000210762024,-20.059999465942383,filtered-train-00017-of-00082.parquet,41
8,pl_00008_filtered-train-00017-of-00082_r47.wav,from 2015 thasat thasey sold thase tent. It was only 8 years later in 2023 thasat thasey managed to sort out thasat problem withas thase Chasinese company. And thasat project is now about to be to be mined. Thasere's a lot of concern because thase locals are calling thase Chasinese galamseyamseyas and thasings,13.359999656677246,0.9383000135421753,-20.209999084472656,filtered-train-00017-of-00082.parquet,47
9,pl_00009_filtered-train-00017-of-00082_r48.wav,ground and thasen you thasink of all thase engineering etc thasey require if I hasave a a resource thasat is thase size of kokum it may not be enoughas if thase basically thase ground on whasichas thase thase scattered deposit it may not be enoughas. So whasat thasat means is thasat a lot of people go,14.5600004196167,0.8655999898910522,-19.299999237060547,filtered-train-00017-of-00082.parquet,48
