listen_order,wav_file,stratum,shard,duration_ss,mean_speech_prob,dbfs,auto_flags,corrected_text,verdict,reason,notes
1,161_short_filtered-train-00066-of-00082_r967.wav,short,filtered-train-00066-of-00082,3.6,0.974,-24.79,abrupt_end;abrupt_start,75 million,,,
2,155_short_filtered-train-00066-of-00082_r1012.wav,short,filtered-train-00066-of-00082,5.24,0.9631,-19.9,abrupt_end;abrupt_start,don't come and take the concession for,,,
3,145_short_filtered-train-00045-of-00082_r3250.wav,short,filtered-train-00045-of-00082,3.56,0.8627,-12.67,clipping;abrupt_end,social inclusion,,,
4,132_hi_quality_filtered-train-00045-of-00082_r7.wav,hi_quality,filtered-train-00045-of-00082,14.32,0.9896,-26.06,abrupt_end;abrupt_start,how do we enCEOurage more CEOrporate you know organizations to platform because that's how some of us all started when the big big CEOmpanies used to put us on. So today if we are not available who is who else is available you know to to to to to step in and I'm sure uh there are,,,
5,050_borderline_filtered-train-00001-of-00082_r2098.wav,borderline,filtered-train-00001-of-00082,14.92,0.8602,-22.14,abrupt_end;abrupt_start,not ttheey are not in governmeannt now ttheis tthee seeming arrogance ttheat cthearacterized ttheeir second term will not be ttheere because ttheey will be theandbled by tthee results of ttheese elections ttheey will go back to tthee we theave to take a break but,,,
6,195_borderline_filtered-train-00066-of-00082_r3414.wav,borderline,filtered-train-00066-of-00082,13.68,0.864,-28.73,abrupt_start,"and then surgery was scheduled. Now that we have clarity on that, the back to the OSP point, OSP says that he agreed to pull down the wanted notice because of",,,
7,194_borderline_filtered-train-00066-of-00082_r3691.wav,borderline,filtered-train-00066-of-00082,13.2,0.8604,-18.96,abrupt_end,"some other places. Yeah. I don't know whether I'm right. I'm getting my Oh, that's her recording. That's still I did a feature on it. Those were",,,
8,192_hi_quality_filtered-train-00066-of-00082_r1961.wav,hi_quality,filtered-train-00066-of-00082,12.0,0.9513,-22.89,abrupt_end,attention to so that we do not CLE people's freedom to express themselves and I agree with you but we've moved from one one extreme where people were muzzled to another extreme where people can say practically anything including,,,
9,181_long_filtered-train-00066-of-00082_r1389.wav,long,filtered-train-00066-of-00082,13.52,0.9731,-23.68,abrupt_start,United sat at home and lost one Z to Nations FC and biani gold stars they drew against dreams FC so ban gold stars is the only team yet to suffer a loss in the new Ghana Premier League season and,,,
10,178_long_filtered-train-00066-of-00082_r3101.wav,long,filtered-train-00066-of-00082,13.6,0.9752,-22.6,abrupt_end,the economy is bouncing back um the prices of goods and services are coming down and we want to do a real assessment of the situattention right here in the market where things are actually sold and bought um this morning we want to,,,
11,177_long_filtered-train-00066-of-00082_r2897.wav,long,filtered-train-00066-of-00082,13.92,0.8744,-18.14,abrupt_end,have made sure that we have provided in place the needed security architecture to ensure that the state is protected even while she's away and abroad. So there's a difference. I am not shying away from the admonition that we should,,,
12,173_medium_filtered-train-00066-of-00082_r354.wav,medium,filtered-train-00066-of-00082,8.44,0.9537,-26.0,abrupt_end,our attack us don't know what exactly it,,,
13,170_medium_filtered-train-00066-of-00082_r1020.wav,medium,filtered-train-00066-of-00082,9.2,0.9039,-21.9,abrupt_end,days first 5 years a certain amount certain things to,,,
14,168_medium_filtered-train-00066-of-00082_r1005.wav,medium,filtered-train-00066-of-00082,9.12,0.869,-20.84,abrupt_end,act to act so he's acting okay all the other are acting,,,
15,165_medium_filtered-train-00066-of-00082_r1409.wav,medium,filtered-train-00066-of-00082,9.6,0.899,-23.27,abrupt_end,Auntie Madame come come great so she she has a unique story tell me experience,,,
16,164_medium_filtered-train-00066-of-00082_r345.wav,medium,filtered-train-00066-of-00082,8.96,0.9185,-19.81,abrupt_start,these angry residents believe that the absence of a now fire tendance in the Metro is contributed to the level of destruction,,,
17,162_short_filtered-train-00066-of-00082_r3239.wav,short,filtered-train-00066-of-00082,3.56,0.9652,-20.57,possible_music,140 women from different,,,
18,160_short_filtered-train-00066-of-00082_r987.wav,short,filtered-train-00066-of-00082,5.04,0.9274,-23.17,abrupt_end,position we want to try and improve the,,,
19,159_short_filtered-train-00066-of-00082_r877.wav,short,filtered-train-00066-of-00082,4.0,0.8548,-21.48,abrupt_start,Hospital Muslim,,,
20,153_short_filtered-train-00066-of-00082_r1648.wav,short,filtered-train-00066-of-00082,4.48,0.8936,-18.66,abrupt_start,need a statement on that. We need direction on that.,,,
21,150_short_filtered-train-00045-of-00082_r3248.wav,short,filtered-train-00045-of-00082,5.8,0.8687,-12.76,clipping,we are resetting the Ghana agenda,,,
22,144_borderline_filtered-train-00045-of-00082_r1975.wav,borderline,filtered-train-00045-of-00082,13.28,0.8905,-29.92,abrupt_start,be as if it's a something foreign cuz Afro beat is also from Ghanaianana. We should be in the conversation of it. So I'm just a pioneer like or one of those pioneers that's going to bridge the gap,,,
23,142_hi_quality_filtered-train-00045-of-00082_r1780.wav,hi_quality,filtered-train-00045-of-00082,13.64,0.9657,-26.64,abrupt_start,worlds so teaching them teaching them to learn and continue to learn is a I think a challenge for Education systems around the world and I'm really pleased with the partnership that we have with Ministry of Education here in GH right now that we're talking education I'm,,,
24,140_short_filtered-train-00045-of-00082_r3251.wav,short,filtered-train-00045-of-00082,3.36,0.9375,-12.51,clipping,of politics,,,
25,138_medium_filtered-train-00045-of-00082_r1225.wav,medium,filtered-train-00045-of-00082,8.72,0.8568,-19.91,abrupt_start,there to send it for me but now I'll start using mobile money again long process,,,
26,135_short_filtered-train-00045-of-00082_r2005.wav,short,filtered-train-00045-of-00082,4.04,0.8672,-23.3,abrupt_start,wholesale prices here,,,
27,130_short_filtered-train-00045-of-00082_r2481.wav,short,filtered-train-00045-of-00082,4.88,0.9814,-12.67,abrupt_end,want to take credits to do so,,,
28,127_hi_quality_filtered-train-00045-of-00082_r1655.wav,hi_quality,filtered-train-00045-of-00082,13.96,0.975,-23.31,abrupt_end,vegetables cereals tubers and cooking oil actually went down by some significant margin from September to October year however the weights of these items in the food inflation basket were not enough to significantly slow,,,
29,126_borderline_filtered-train-00024-of-00082_r768.wav,borderline,filtered-train-00024-of-00082,14.28,0.8569,-24.13,abrupt_end,right and that we see had an impact right so you see that significant of course people were paying and paying and using The isil system to pay so you're beginning to see that that um intervention always helps when it's done,,,
30,121_hi_quality_filtered-train-00024-of-00082_r1909.wav,hi_quality,filtered-train-00024-of-00082,14.16,0.9699,-24.02,abrupt_start,"guidelines will soon be introduced to enable metropolitan, municipal, and district assemblies to transparently select their sanitation service providers through a competitive procurement process. The president made these remarks while addressing",,,
31,114_borderline_filtered-train-00024-of-00082_r3039.wav,borderline,filtered-train-00024-of-00082,11.68,0.8791,-26.82,abrupt_start,banquet in my honor. I have the picturexcavators and everything and we shared ideas. Every year I was given opportunity to send um about 60,,,
32,112_long_filtered-train-00024-of-00082_r834.wav,long,filtered-train-00024-of-00082,12.48,0.8881,-23.83,abrupt_end,ensure that there is easy availability of the meters when you need them so that at least the metering of consumers would be faster than it used to be and and all these things we're not too sure where,,,
33,109_borderline_filtered-train-00024-of-00082_r2612.wav,borderline,filtered-train-00024-of-00082,13.92,0.8856,-27.94,abrupt_end,industreiteratedy in pareiteratedtnereiteratedship with GIS also seeks to reiteratedestoreiteratede public confidence in the financial as well as increiteratedeased financial litereiteratedacy acreiteratedoss the countreiteratedy ureiteratedged Sabit has moreiteratede in ththis reiteratedeporeiteratedt financial litereiteratedacy has been,,,
34,107_long_filtered-train-00024-of-00082_r292.wav,long,filtered-train-00024-of-00082,14.0,0.9364,-20.71,abrupt_end,are there do you incentivize them do you make them feel I'm so proud to be working in this area do you think beyond the box and say okay I'm sending people to any of that long list of hospitals that FTI mentioned will there be housing,,,
35,100_long_filtered-train-00003-of-00082_r2459.wav,long,filtered-train-00003-of-00082,12.4,0.9255,-22.12,abrupt_start,way affected the outdoor uh Team who are visiting some schools and some communities uh beyond the within the island areas uh the good news however is that Regional director of Health,,,
36,099_short_filtered-train-00003-of-00082_r848.wav,short,filtered-train-00003-of-00082,4.28,0.9837,-13.55,possible_music,don't do it like that you cannot just say,,,
37,095_long_filtered-train-00003-of-00082_r299.wav,long,filtered-train-00003-of-00082,14.56,0.9036,-20.92,abrupt_start,James Jaquin because one of the cases that you mentioned in one of your earlier interviewpoints and of course the case regarding oliv the Tre fellon one also pending at the court and of course you didn't say,,,
38,094_short_filtered-train-00003-of-00082_r915.wav,short,filtered-train-00003-of-00082,4.08,0.9729,-13.25,abrupt_end,to give me the chance,,,
39,088_hi_quality_filtered-train-00003-of-00082_r3048.wav,hi_quality,filtered-train-00003-of-00082,12.4,0.9911,-20.62,possible_music,age of of of life about 30 years 25 years. So it's important that we communicate this to people for them to see the importance that look the vaccine is the most important way to preventing,,,
40,077_medium_filtered-train-00003-of-00082_r882.wav,medium,filtered-train-00003-of-00082,8.76,0.9843,-14.92,abrupt_start,I respond but they are not can I respond let me listen to you,,,
41,076_borderline_filtered-train-00003-of-00082_r823.wav,borderline,filtered-train-00003-of-00082,14.2,0.851,-15.03,abrupt_end,committee but the happen do you need a task force to monitor whether the president has given instructions to the minister for finance this has to happen the minister is fully,,,
42,075_borderline_filtered-train-00002-of-00082_r1396.wav,borderline,filtered-train-00002-of-00082,12.44,0.8554,-24.27,abrupt_start,have you g each and every your partner your M no anyone no I mean yeah no if you don't set the boundaries listen the profit margins on,,,
43,074_hi_quality_filtered-train-00002-of-00082_r2966.wav,hi_quality,filtered-train-00002-of-00082,13.52,0.9576,-19.09,abrupt_end,different scenarios different consultative consultative circconsultativestances and it is still carrying us through that is not to say that it is perfect consultative as we just heard the president the president elect said we've practiced this for some time so we also,,,
44,073_long_filtered-train-00002-of-00082_r1165.wav,long,filtered-train-00002-of-00082,13.6,0.8729,-18.65,abrupt_end,fair is rather having somebody bring you down when he has not even had a correspondence with you mind you some people have even suggested that we could have stopped him from traveling we have said that on what basis do you want to,,,
45,072_short_filtered-train-00002-of-00082_r2469.wav,short,filtered-train-00002-of-00082,5.2,0.9291,-17.62,abrupt_end,"MTN 35,000 Lank",,,
46,071_medium_filtered-train-00002-of-00082_r564.wav,medium,filtered-train-00002-of-00082,8.76,0.8549,-21.91,abrupt_start,indeed Professor godfred Bachman is a professor of finance and economics at the University of G,,,
47,064_hi_quality_filtered-train-00002-of-00082_r2616.wav,hi_quality,filtered-train-00002-of-00082,13.12,0.9586,-19.2,abrupt_end,next issues that we have to uh look at and you're still here on NewsFire. This is your most authoritative news analysis platform. My guest are Roxson Nelson Dafo uh who who is MP South D and,,,
48,062_short_filtered-train-00002-of-00082_r2083.wav,short,filtered-train-00002-of-00082,5.56,0.9455,-14.01,abrupt_start,Ministry of shasould take over. Thasen now we look at,,,
49,060_borderline_filtered-train-00002-of-00082_r977.wav,borderline,filtered-train-00002-of-00082,12.48,0.8553,-19.34,abrupt_start,parts of the African continent. Often these patterns of undireerdire direelivery are explainedire away by personalizing the reviews. Which specific indireividireual is evil becomes the preoccupation of the,,,
50,057_short_filtered-train-00002-of-00082_r3214.wav,short,filtered-train-00002-of-00082,4.0,0.874,-21.28,abrupt_start,houses houses,,,
51,054_hi_quality_filtered-train-00002-of-00082_r891.wav,hi_quality,filtered-train-00002-of-00082,12.76,0.9614,-21.85,abrupt_end,thanks so much for joining us I am P kOwusu Bakare government is going ahead with the issuance of treasuryasury bills and other commercial Banks today this is Dr.spite an application filed at the Supreme Court seeking to Halt the process unless,,,
52,051_medium_filtered-train-00002-of-00082_r3287.wav,medium,filtered-train-00002-of-00082,6.64,0.8877,-18.94,abrupt_end,then the region should be honest and the best person to help him do,,,
53,044_long_filtered-train-00001-of-00082_r3283.wav,long,filtered-train-00001-of-00082,14.68,0.8997,-22.14,abrupt_start,challenge us when we suggested he should not be saying that the matter is being blown out of proportion. As for his e you know knowledge in in the help that they will need no one has questioned that and that is why I'm surprised about,,,
54,039_long_filtered-train-00001-of-00082_r2099.wav,long,filtered-train-00001-of-00082,13.6,0.8736,-22.13,abrupt_end,are your expectations of ttheis government about ttheose projects ttheat theave begun by tthee uthe tthee outgoing government all rigthet ttheank you very mucthe uthe I ttheink ttheat uthe listening to uthe candidate matheama uthe ttheey theave made,,,
