listen_order,wav_file,stratum,shard,duration_ss,mean_speech_prob,dbfs,corrected_text,auto_flags,reason,notes
1,161_short_filtered-train-00066-of-00082_r967.wav,short,filtered-train-00066-of-00082,3.6,0.974,-24.79,75 million,abrupt_end;abrupt_start,,
3,145_short_filtered-train-00045-of-00082_r3250.wav,short,filtered-train-00045-of-00082,3.56,0.8627,-12.67,social inclusion,clipping;abrupt_end,,
7,194_borderline_filtered-train-00066-of-00082_r3691.wav,borderline,filtered-train-00066-of-00082,13.2,0.8604,-18.96,"some other places. Yeah. I don't know whether I'm right. I'm getting my Oh, that's her recording. That's still I did a feature on it. Those were",abrupt_end,,
12,173_medium_filtered-train-00066-of-00082_r354.wav,medium,filtered-train-00066-of-00082,8.44,0.9537,-26.0,our attack us don't know what exactly it,abrupt_end,,
15,165_medium_filtered-train-00066-of-00082_r1409.wav,medium,filtered-train-00066-of-00082,9.6,0.899,-23.27,Auntie Madame come come great so she she has a unique story tell me experience,abrupt_end,,
18,160_short_filtered-train-00066-of-00082_r987.wav,short,filtered-train-00066-of-00082,5.04,0.9274,-23.17,position we want to try and improve the,abrupt_end,,
19,159_short_filtered-train-00066-of-00082_r877.wav,short,filtered-train-00066-of-00082,4.0,0.8548,-21.48,Hospital Muslim,abrupt_start,,
24,140_short_filtered-train-00045-of-00082_r3251.wav,short,filtered-train-00045-of-00082,3.36,0.9375,-12.51,of politics,clipping,,
27,130_short_filtered-train-00045-of-00082_r2481.wav,short,filtered-train-00045-of-00082,4.88,0.9814,-12.67,want to take credits to do so,abrupt_end,,
36,099_short_filtered-train-00003-of-00082_r848.wav,short,filtered-train-00003-of-00082,4.28,0.9837,-13.55,don't do it like that you cannot just say,possible_music,,
38,094_short_filtered-train-00003-of-00082_r915.wav,short,filtered-train-00003-of-00082,4.08,0.9729,-13.25,to give me the chance,abrupt_end,,
40,077_medium_filtered-train-00003-of-00082_r882.wav,medium,filtered-train-00003-of-00082,8.76,0.9843,-14.92,I respond but they are not can I respond let me listen to you,abrupt_start,,
41,076_borderline_filtered-train-00003-of-00082_r823.wav,borderline,filtered-train-00003-of-00082,14.2,0.851,-15.03,committee but the happen do you need a task force to monitor whether the president has given instructions to the minister for finance this has to happen the minister is fully,abrupt_end,,
45,072_short_filtered-train-00002-of-00082_r2469.wav,short,filtered-train-00002-of-00082,5.2,0.9291,-17.62,"MTN 35,000 Lank",abrupt_end,,
50,057_short_filtered-train-00002-of-00082_r3214.wav,short,filtered-train-00002-of-00082,4.0,0.874,-21.28,houses houses,abrupt_start,,
55,038_hi_quality_filtered-train-00001-of-00082_r1570.wav,hi_quality,filtered-train-00001-of-00082,13.24,0.9721,-21.73,National Science and Math C join news is supported by Nasco V milk virtu security Africa Ace medical insurance bill Financial Technologies DBS Roofing cintus tanks Family Health Medical,abrupt_end,,
59,024_borderline_filtered-train-00000-of-00082_r451.wav,borderline,filtered-train-00000-of-00082,14.24,0.8599,-21.12,>> Do what like the Bible says do on to others as you want them to want to do. >> Right? Okay. >> And remember being a either you like Ghana soup or palm soup. Thank you my brother. Have a nice Thank,abrupt_start,,
70,123_medium_filtered-train-00024-of-00082_r229.wav,medium,filtered-train-00024-of-00082,8.09,0.9491,-18.85,in the [Music],,,
73,115_short_filtered-train-00024-of-00082_r1382.wav,short,filtered-train-00024-of-00082,3.68,0.8969,-25.57,My print is So,,,
78,041_short_filtered-train-00001-of-00082_r2628.wav,short,filtered-train-00001-of-00082,3.32,0.871,-18.35,without him.,,,
79,067_short_filtered-train-00002-of-00082_r2476.wav,short,filtered-train-00002-of-00082,4.2,0.9135,-17.5,"tank 35,000",,,
86,120_short_filtered-train-00024-of-00082_r1380.wav,short,filtered-train-00024-of-00082,4.2,0.9778,-25.17,message. One and a half year.,,,
87,061_medium_filtered-train-00002-of-00082_r3222.wav,medium,filtered-train-00002-of-00082,9.37,0.8662,-24.23,[Music] expectations Tech and [Music],,,
90,013_short_filtered-train-00000-of-00082_r154.wav,short,filtered-train-00000-of-00082,5.56,0.8504,-20.65,the silent fears that come with it.,,,
93,167_medium_filtered-train-00066-of-00082_r2631.wav,medium,filtered-train-00066-of-00082,9.72,0.8786,-17.78,switched into reg uh the song was recorded in five different languages English we had Tre ever we had G we had,,,
96,143_medium_filtered-train-00045-of-00082_r3249.wav,medium,filtered-train-00045-of-00082,10.0,0.8963,-14.81,people nNanaber one nNanaber two nNanaber three,,,
108,103_medium_filtered-train-00024-of-00082_r2002.wav,medium,filtered-train-00024-of-00082,8.36,0.9168,-19.06,gfp is uhopeful tuhat tuhe EC cuhair would deliver a successful election 2024,,,
113,046_short_filtered-train-00001-of-00082_r2534.wav,short,filtered-train-00001-of-00082,3.6,0.8919,-23.33,am MFR Austri.,,,
