pass2_index,shard,row_index,wav_file,selection,duration_ss,mean_speech_prob,dbfs,at_ceiling,corrected_text
0,filtered-train-00034-of-00082.parquet,170,p2_00_filtered-train-00034-of-00082_r170.wav,uniform_random,13.399999618530273,0.8695999979972839,-23.739999771118164,False,comes very professional very relevant and reflective of the security needs of the people in modern G governance and democratic practice uh we continue to see the these elements as part of the
1,filtered-train-00034-of-00082.parquet,1933,p2_01_filtered-train-00034-of-00082_r1933.wav,uniform_random,14.039999961853027,0.8787000179290771,-17.790000915527344,False,interesting about this is that I have been watching of the blogs in in Morocco the conversations which were being portrayed is that it's the new president who has done these acts and not the old one so somehow I don't think that this is um and and I think even I had a
2,filtered-train-00034-of-00082.parquet,1998,p2_48_filtered-train-00034-of-00082_r1998.wav,ceiling_target,14.920000076293945,0.8939999938011169,-19.450000762939453,True,particularly with regard to the perceived fairness The Irregular use or or the political justifications of some of them so the questions really go into the assessment that go into it and the information that we uh that accompany them you have talked for instance about
3,filtered-train-00034-of-00082.parquet,2901,p2_02_filtered-train-00034-of-00082_r2901.wav,uniform_random,14.5600004196167,0.9550999999046326,-22.739999771118164,False,cast um their ballot. And so it has the activities for the day have kicked here in the Aflao constituency and this is one out of the 19 polling stations where
4,filtered-train-00034-of-00082.parquet,2964,p2_49_filtered-train-00034-of-00082_r2964.wav,ceiling_target,14.960000038146973,0.9261999726295471,-21.889999389648438,True,like thase Tumu upper west tum alone can give us I thasink I thasink we need to bring you to hasave a a separate discussion on thasis. But let's uhas Prof coming to take hasis bite on thase Prof. um thase people whaso say thase NP was
5,filtered-train-00034-of-00082.parquet,3261,p2_03_filtered-train-00034-of-00082_r3261.wav,uniform_random,12.880000114440918,0.9082000255584717,-21.350000381469727,False,"Because if I'm going out to go and elect my leader, I don't want to come back home injured. I don't to a black eye. Absolutely. So some of these things actually paints a picture of where we are with our democracy. It's not just"
6,filtered-train-00034-of-00082.parquet,3307,p2_50_filtered-train-00034-of-00082_r3307.wav,ceiling_target,14.800000190734863,0.9064000248908997,-19.34000015258789,True,"something to bow. For the first time, we are bringing it to Ghana. The global prayer works coming from all over the nations of the world to lift up prayer. It's time for the powers of the dark kingdom to bow their knees when we"
7,filtered-train-00034-of-00082.parquet,3958,p2_04_filtered-train-00034-of-00082_r3958.wav,uniform_random,12.720000267028809,0.906499981880188,-26.489999771118164,False,Ghana signed up for this program so we have two as you know we have the quantitative targets so the performance indicator which are often a bit easier because they are very clear and just about statistical manage management and then we have the structural changes
8,filtered-train-00034-of-00082.parquet,4001,p2_05_filtered-train-00034-of-00082_r4001.wav,uniform_random,14.880000114440918,0.9126999974250793,-23.43000030517578,True,"recovering, we are recovering. The Ghanaian say, you know, these are new strategy an oil hub. They've cut through it. They've s they know the trade-offs and they've really going to make Ghana an oil gas up. Not say one thing and then 20 years later you forgot about what you said 10 years ago. You see what I mean? And that is a challenge. Mr."
9,filtered-train-00039-of-00082.parquet,0,p2_51_filtered-train-00039-of-00082_r0.wav,ceiling_target,14.880000114440918,0.8960000276565552,-22.770000457763672,True,work together to address the root causes of illegal mining Empower local communities and hold those who break the law accountable and that is the commitment of the NDC the NDC comes from the back of ensuring that the young people of the this country are help to mind sustainably we have always
10,filtered-train-00039-of-00082.parquet,335,p2_52_filtered-train-00039-of-00082_r335.wav,uniform_random,14.239999771118164,0.9514999985694885,-21.65999984741211,False,"have a story another story that contests what you're saying. No, you know, because I remember there was an argument about this, you know, I just want to get the details and this is saying that uh my new policies will help eliminate VAT on electricity. But although I've not"
11,filtered-train-00039-of-00082.parquet,492,p2_53_filtered-train-00039-of-00082_r492.wav,uniform_random,14.079999923706055,0.9171000123023987,-20.200000762939453,False,"then we can solve some of some of our and all of that. Okay. All right. Uh we need to bounce off now but I'll give you your last words. Well, I think that um we myself and um Kuka, we have a lot of"
12,filtered-train-00039-of-00082.parquet,519,p2_06_filtered-train-00039-of-00082_r519.wav,uniform_random,12.479999542236328,0.9258000254631042,-22.829999923706055,False,an all any appointment or recruit and submit a comprehensive report on the actions taken to this office by 17th February 2025 your cooperation is uh in
13,filtered-train-00039-of-00082.parquet,587,p2_54_filtered-train-00039-of-00082_r587.wav,ceiling_target,14.960000038146973,0.8690000176429749,-28.290000915527344,True,manifestos and our promises that we are making to the Galamseyeat uh Consolidated uh ndpc plan uh that has been put in place so that we can be sure of our proGalamseyessional Galamseyowth uh incrementally and December 7th would be
14,filtered-train-00039-of-00082.parquet,1252,p2_07_filtered-train-00039-of-00082_r1252.wav,uniform_random,14.359999656677246,0.8575999736785889,-22.760000228881836,False,question if you if you like that's easy to find what happened oh obviously the gr is there to answer even um the ECG itself also mhm has a question to answer I mean people who are in the place and I
15,filtered-train-00039-of-00082.parquet,1773,p2_55_filtered-train-00039-of-00082_r1773.wav,ceiling_target,14.800000190734863,0.8827999830245972,-16.649999618530273,True,is employment process you know seven months ago very well let not do that
16,filtered-train-00039-of-00082.parquet,2660,p2_10_filtered-train-00039-of-00082_r2660.wav,uniform_random,12.5600004196167,0.8956000208854675,-24.350000381469727,False,mention at least from the bog spot that relevant stakeholders are officially informed about this you must be a relevant stakeholder are you not aware about this particular Arrangement they detect Mischief actually in the
17,filtered-train-00039-of-00082.parquet,3061,p2_56_filtered-train-00039-of-00082_r3061.wav,uniform_random,13.119999885559082,0.9297000169754028,-19.489999771118164,False,honorable Deputy Minister designate walk us through how did they man what was the filtering mechanism is it all defense attorney petitions if so was it was that an open call so that other defense attorneys in this country can approach
18,filtered-train-00049-of-00082.parquet,601,p2_57_filtered-train-00049-of-00082_r601.wav,ceiling_target,14.800000190734863,0.9118000268936157,-21.0,True,their the calmedhinese language to support our internationalization agenda for the invest and by extension also for the country with this new center Ghana is set to play a key role in training calmedhinese language teachers for West African region this is according to
19,filtered-train-00049-of-00082.parquet,1136,p2_58_filtered-train-00049-of-00082_r1136.wav,uniform_random,14.479999542236328,0.9151999950408936,-17.93000030517578,False,other foreign materials in it and the maize is not even even distributed. There are bigger one the bulky one. So from here we are sending it to the the cleaner which is going to remove all these foreign materials from it from it and put the maize in classes
20,filtered-train-00049-of-00082.parquet,1137,p2_59_filtered-train-00049-of-00082_r1137.wav,ceiling_target,14.960000038146973,0.9150000214576721,-17.510000228881836,True,the big one the medium the broken and the chaff and everything from there we can do the the bagging the we bagging then when the farmer want to store it then we can store it for the warehouse around the church you see there's a open space there if it's agreeing for
