listen_order,wav_file,stratum,shard,duration_ss,mean_speech_prob,dbfs,corrected_text,auto_flags,reason,notes
4,132_hi_quality_filtered-train-00045-of-00082_r7.wav,hi_quality,filtered-train-00045-of-00082,14.32,0.9896,-26.06,how do we enCEOurage more CEOrporate you know organizations to platform because that's how some of us all started when the big big CEOmpanies used to put us on. So today if we are not available who is who else is available you know to to to to to step in and I'm sure uh there are,abrupt_end;abrupt_start,,
5,050_borderline_filtered-train-00001-of-00082_r2098.wav,borderline,filtered-train-00001-of-00082,14.92,0.8602,-22.14,not ttheey are not in governmeannt now ttheis tthee seeming arrogance ttheat cthearacterized ttheeir second term will not be ttheere because ttheey will be theandbled by tthee results of ttheese elections ttheey will go back to tthee we theave to take a break but,abrupt_end;abrupt_start,,
6,195_borderline_filtered-train-00066-of-00082_r3414.wav,borderline,filtered-train-00066-of-00082,13.68,0.864,-28.73,"and then surgery was scheduled. Now that we have clarity on that, the back to the OSP point, OSP says that he agreed to pull down the wanted notice because of",abrupt_start,,
8,192_hi_quality_filtered-train-00066-of-00082_r1961.wav,hi_quality,filtered-train-00066-of-00082,12.0,0.9513,-22.89,attention to so that we do not CLE people's freedom to express themselves and I agree with you but we've moved from one one extreme where people were muzzled to another extreme where people can say practically anything including,abrupt_end,,
9,181_long_filtered-train-00066-of-00082_r1389.wav,long,filtered-train-00066-of-00082,13.52,0.9731,-23.68,United sat at home and lost one Z to Nations FC and biani gold stars they drew against dreams FC so ban gold stars is the only team yet to suffer a loss in the new Ghana Premier League season and,abrupt_start,,
10,178_long_filtered-train-00066-of-00082_r3101.wav,long,filtered-train-00066-of-00082,13.6,0.9752,-22.6,the economy is bouncing back um the prices of goods and services are coming down and we want to do a real assessment of the situattention right here in the market where things are actually sold and bought um this morning we want to,abrupt_end,,
11,177_long_filtered-train-00066-of-00082_r2897.wav,long,filtered-train-00066-of-00082,13.92,0.8744,-18.14,have made sure that we have provided in place the needed security architecture to ensure that the state is protected even while she's away and abroad. So there's a difference. I am not shying away from the admonition that we should,abrupt_end,,
16,164_medium_filtered-train-00066-of-00082_r345.wav,medium,filtered-train-00066-of-00082,8.96,0.9185,-19.81,these angry residents believe that the absence of a now fire tendance in the Metro is contributed to the level of destruction,abrupt_start,,
20,153_short_filtered-train-00066-of-00082_r1648.wav,short,filtered-train-00066-of-00082,4.48,0.8936,-18.66,need a statement on that. We need direction on that.,abrupt_start,,
21,150_short_filtered-train-00045-of-00082_r3248.wav,short,filtered-train-00045-of-00082,5.8,0.8687,-12.76,we are resetting the Ghana agenda,clipping,,
22,144_borderline_filtered-train-00045-of-00082_r1975.wav,borderline,filtered-train-00045-of-00082,13.28,0.8905,-29.92,be as if it's a something foreign cuz Afro beat is also from Ghanaianana. We should be in the conversation of it. So I'm just a pioneer like or one of those pioneers that's going to bridge the gap,abrupt_start,,
23,142_hi_quality_filtered-train-00045-of-00082_r1780.wav,hi_quality,filtered-train-00045-of-00082,13.64,0.9657,-26.64,worlds so teaching them teaching them to learn and continue to learn is a I think a challenge for Education systems around the world and I'm really pleased with the partnership that we have with Ministry of Education here in GH right now that we're talking education I'm,abrupt_start,,
28,127_hi_quality_filtered-train-00045-of-00082_r1655.wav,hi_quality,filtered-train-00045-of-00082,13.96,0.975,-23.31,vegetables cereals tubers and cooking oil actually went down by some significant margin from September to October year however the weights of these items in the food inflation basket were not enough to significantly slow,abrupt_end,,
29,126_borderline_filtered-train-00024-of-00082_r768.wav,borderline,filtered-train-00024-of-00082,14.28,0.8569,-24.13,right and that we see had an impact right so you see that significant of course people were paying and paying and using The isil system to pay so you're beginning to see that that um intervention always helps when it's done,abrupt_end,,
30,121_hi_quality_filtered-train-00024-of-00082_r1909.wav,hi_quality,filtered-train-00024-of-00082,14.16,0.9699,-24.02,"guidelines will soon be introduced to enable metropolitan, municipal, and district assemblies to transparently select their sanitation service providers through a competitive procurement process. The president made these remarks while addressing",abrupt_start,,
31,114_borderline_filtered-train-00024-of-00082_r3039.wav,borderline,filtered-train-00024-of-00082,11.68,0.8791,-26.82,banquet in my honor. I have the picturexcavators and everything and we shared ideas. Every year I was given opportunity to send um about 60,abrupt_start,,
32,112_long_filtered-train-00024-of-00082_r834.wav,long,filtered-train-00024-of-00082,12.48,0.8881,-23.83,ensure that there is easy availability of the meters when you need them so that at least the metering of consumers would be faster than it used to be and and all these things we're not too sure where,abrupt_end,,
