sample_index,stratum,shard,row_index,wav_file,global_row,wav_sample_rate,duration_ss,mean_speech_prob,dbfs,corrected_text
0,hi_quality,filtered-train-00000-of-00082,969,000_hi_quality_filtered-train-00000-of-00082_r969.wav,969,16000,12.64,0.9509,-24.36,"expand its operation across the country to reach more regions and work towards the complete eradication of human trafficking. According to IGM country director Miss Anita Budu, this would"
1,borderline,filtered-train-00000-of-00082,166,001_borderline_filtered-train-00000-of-00082_r166.wav,166,16000,14.8,0.8601,-22.67,"all of us. So if we don't do that and we continue to do what we are doing that the road is constructed 3 days, 4 days, potholes have already started developing yet the person has been paid. contractor is not held accountable because somebody"
2,long,filtered-train-00000-of-00082,1687,002_long_filtered-train-00000-of-00082_r1687.wav,1687,16000,14.88,0.8821,-29.45,"people do that, especially when they at that stage of their life. And so I wonder is it is it because you had parents who would push you to the limit or you had your own ideas that you were willing regardless of the risks to pursue?"
3,short,filtered-train-00000-of-00082,1650,003_short_filtered-train-00000-of-00082_r1650.wav,1650,16000,3.4,0.8619,-25.1,Is that you?
4,medium,filtered-train-00000-of-00082,462,004_medium_filtered-train-00000-of-00082_r462.wav,462,16000,7.36,0.9713,-24.94,"broad. Yeah. So, thank you guys for uh joining the conversation. And it's a very good one."
5,hi_quality,filtered-train-00000-of-00082,2056,005_hi_quality_filtered-train-00000-of-00082_r2056.wav,2056,16000,12.0,0.9777,-17.92,to Joy business chief executive of the Ghana Enterprises agency Margaret an appeal to financial institutions to Foster growth of women-owned businesses we are here to speak to our policy
6,borderline,filtered-train-00000-of-00082,3066,006_borderline_filtered-train-00000-of-00082_r3066.wav,3066,16000,13.64,0.8632,-28.68,fathers has played in in in our lives yes so I I am of the view that I mean no matter how such a question is funded at the end of the day uh like Benjamin say it depends on uh the detail of such
7,long,filtered-train-00000-of-00082,277,007_long_filtered-train-00000-of-00082_r277.wav,277,16000,14.8,0.9157,-17.37,president going? Is she going the donkey? >> How's he going? Tell us. You see you you you claim you want to be transparent but then you are hiding more. The information the government that's what I'm saying they in this area thing the information they gather is like a bikini. Sorry for say that
8,short,filtered-train-00000-of-00082,898,008_short_filtered-train-00000-of-00082_r898.wav,898,16000,4.36,0.9561,-15.9,speech. for
9,medium,filtered-train-00000-of-00082,902,009_medium_filtered-train-00000-of-00082_r902.wav,902,16000,8.7,0.8743,-29.22,Amen. Foreign speech. Foreign speech. Foreign speech. [Music]
10,hi_quality,filtered-train-00000-of-00082,1769,010_hi_quality_filtered-train-00000-of-00082_r1769.wav,1769,16000,14.64,0.9914,-20.17,"we say are leaky, busting, and broken can actually become more secure and better for our workplaces so we can get talent in the workplaces with the skills that are needed in those workplaces. >> Minister for Labor, Jobs, and Employment, Dr. Abdul Rashid Pelpur"
11,borderline,filtered-train-00000-of-00082,3309,011_borderline_filtered-train-00000-of-00082_r3309.wav,3309,16000,14.0,0.859,-26.08,pick the daily graphic of so the Daily Guide whichich we all know whichere it's coming from and it holds the same headline your listeners could see that a public land secured so it means that this is actually you know a sort of media project that has been put in place
12,long,filtered-train-00000-of-00082,569,012_long_filtered-train-00000-of-00082_r569.wav,569,16000,14.64,0.8759,-22.49,"which we are marketing Kennedy or Odupon for the 20. Is that why you switched camp? No, I'm telling you you know. Yes. I laugh because the data I didn't because we were promised we're going to get"
13,short,filtered-train-00000-of-00082,154,013_short_filtered-train-00000-of-00082_r154.wav,154,16000,5.56,0.8504,-20.65,the silent fears that come with it.
14,medium,filtered-train-00000-of-00082,3010,014_medium_filtered-train-00000-of-00082_r3010.wav,3010,16000,9.64,0.9508,-24.0,Thee delegatesheops sheopsheouldn't theink of theeir sheopselfisheopshe interesheopst. Thee country sheopsheould be put firsheopst and Dr. Educheum isheops a righet persheopson.
15,hi_quality,filtered-train-00000-of-00082,350,015_hi_quality_filtered-train-00000-of-00082_r350.wav,350,16000,13.44,0.9792,-20.11,they've come and they are footing they not going to remove it again it's one of those things so let's make sure that we don't rush on this one too so that later on we oh let's go back to you know once we take our >> you say something my ear >> no no I didn't say anything pardon my French I pardon my French I didn't say
16,borderline,filtered-train-00000-of-00082,3233,016_borderline_filtered-train-00000-of-00082_r3233.wav,3233,16000,13.2,0.9026,-26.51,address the threats destroying water sources and limited access to portable water facilities. The call came during the 40th anniversary celebration of water aid Ghana dubbed quote change
17,long,filtered-train-00000-of-00082,933,017_long_filtered-train-00000-of-00082_r933.wav,933,16000,13.04,0.8864,-21.62,ministry and with the personnel and just from the conversations few conversations that they've been having among themselves here appears to be that a lot of people had such confidence in his
18,short,filtered-train-00000-of-00082,2491,018_short_filtered-train-00000-of-00082_r2491.wav,2491,16000,3.88,0.8872,-21.53,like a father to us.
19,medium,filtered-train-00000-of-00082,2755,019_medium_filtered-train-00000-of-00082_r2755.wav,2755,16000,9.4,0.8861,-26.75,loyalty a lot for me is the most important thing and these people around were the people who really madesignate me become who I am
20,hi_quality,filtered-train-00000-of-00082,1321,020_hi_quality_filtered-train-00000-of-00082_r1321.wav,1321,16000,13.76,0.97,-21.54,"solar energy solutions, Echo Bank has the right financing tailored to your lifestyle. From staying connected with the latest devices to embracing sustainable living, our flexible consumer loans, asset finance and salary"
21,borderline,filtered-train-00000-of-00082,2646,021_borderline_filtered-train-00000-of-00082_r2646.wav,2646,16000,13.04,0.9642,-29.84,this is an advice to all organizations you can't just go and implement or innovate you have to make sure the people that work the technology have also been trained I've always said that we need to have a more nationalistic view when it comes to customer service
22,long,filtered-train-00000-of-00082,1975,022_long_filtered-train-00000-of-00082_r1975.wav,1975,16000,14.08,0.8988,-16.79,um she has not been cleared and that they believe that a a much more broader stroke um in terms of you know invest in investigations and digging into the issues may unravel other issues that may
23,medium,filtered-train-00000-of-00082,2474,023_medium_filtered-train-00000-of-00082_r2474.wav,2474,16000,7.24,0.9027,-21.02,symbol despite being artistic has meanings which communicates Ed symbol
24,borderline,filtered-train-00000-of-00082,451,024_borderline_filtered-train-00000-of-00082_r451.wav,451,16000,14.24,0.8599,-21.12,>> Do what like the Bible says do on to others as you want them to want to do. >> Right? Okay. >> And remember being a either you like Ghana soup or palm soup. Thank you my brother. Have a nice Thank
25,borderline,filtered-train-00001-of-00082,440,025_borderline_filtered-train-00001-of-00082_r440.wav,4041,16000,14.88,0.8619,-17.77,"governance system, if you're a unit, you don't even have a budget on your own. Any money that is coming from the central government to the district assembly, it will go to the central administration budget. pool and then that is where everybody is pushing"
26,short,filtered-train-00001-of-00082,3669,026_short_filtered-train-00001-of-00082_r3669.wav,7270,16000,3.0,0.9089,-27.37,Assembly.
27,medium,filtered-train-00001-of-00082,3842,027_medium_filtered-train-00001-of-00082_r3842.wav,7443,16000,9.24,0.884,-27.65,production of the soap she's able to send the daughter to tertiary and she have successfully completed.
28,hi_quality,filtered-train-00001-of-00082,825,028_hi_quality_filtered-train-00001-of-00082_r825.wav,4426,16000,14.52,0.9535,-20.75,for him it's not consideclaredred uh an emergency these are the key outstanding business that have to be declaredalt with approval of budget for the first quarter of 2025 which is key and then also uh the LI revoking mining in forest
29,long,filtered-train-00001-of-00082,1343,029_long_filtered-train-00001-of-00082_r1343.wav,4944,16000,12.84,0.9642,-21.4,Jackie actually is on standby to bring us both the sadness and the excitement I'm excited for in font of him and very very sad for PR because my channel manager kop won't be a happy man today
30,borderline,filtered-train-00001-of-00082,438,030_borderline_filtered-train-00001-of-00082_r438.wav,4039,16000,14.08,0.8609,-18.06,er public good. So at the district assembly levels we have the there is there's a a policy that 80% of waste management should be exceeded to the private entity and the 20% should be
31,short,filtered-train-00001-of-00082,1892,031_short_filtered-train-00001-of-00082_r1892.wav,5493,16000,3.32,0.882,-20.29,father guard
32,medium,filtered-train-00001-of-00082,2624,032_medium_filtered-train-00001-of-00082_r2624.wav,6225,16000,7.38,0.8643,-27.05,yes still watching the Paul when we come back we'll take you all the way to Kumasi and we'll tell you why after this quick breather
33,hi_quality,filtered-train-00001-of-00082,2918,033_hi_quality_filtered-train-00001-of-00082_r2918.wav,6519,16000,13.04,0.9564,-21.89,so far so good at least we we are we we have our eyes fixed on the ball so we are monitoring every process and then we are correcting and adjusting wherever there are issues and that's what we've been doing the whole of today I mean so let us understand what really are you
34,long,filtered-train-00001-of-00082,1536,034_long_filtered-train-00001-of-00082_r1536.wav,5137,16000,13.28,0.8723,-20.87,"I also went to Ivikos. There are Ghanaians that are living in Avos. So if our people can live somewhere, other people can also live here. So we are not against Africans or accepting Africans to come and be with us. What we are saying and what all your speakers"
35,borderline,filtered-train-00001-of-00082,1138,035_borderline_filtered-train-00001-of-00082_r1138.wav,4739,16000,12.68,0.8573,-26.61,our water and in the soil directly you know there's no way around it we are struggling to deal with kidney diseases in Ghana this can actually be nailed down directly to the recently actually
36,short,filtered-train-00001-of-00082,905,036_short_filtered-train-00001-of-00082_r905.wav,4506,16000,3.56,0.8853,-13.69,yeah in the in the days
37,medium,filtered-train-00001-of-00082,904,037_medium_filtered-train-00001-of-00082_r904.wav,4505,16000,7.04,0.9243,-15.6,again and of course let me let me pick you're reactions on this generally across the
38,hi_quality,filtered-train-00001-of-00082,1570,038_hi_quality_filtered-train-00001-of-00082_r1570.wav,5171,16000,13.24,0.9721,-21.73,National Science and Math C join news is supported by Nasco V milk virtu security Africa Ace medical insurance bill Financial Technologies DBS Roofing cintus tanks Family Health Medical
39,long,filtered-train-00001-of-00082,2099,039_long_filtered-train-00001-of-00082_r2099.wav,5700,16000,13.6,0.8736,-22.13,are your expectations of ttheis government about ttheose projects ttheat theave begun by tthee uthe tthee outgoing government all rigthet ttheank you very mucthe uthe I ttheink ttheat uthe listening to uthe candidate matheama uthe ttheey theave made
40,borderline,filtered-train-00001-of-00082,912,040_borderline_filtered-train-00001-of-00082_r912.wav,4513,16000,11.36,0.8504,-15.02,period we trust that any emergencies that may arise regarding the need for recruitment shall be considered on a Case by case basis and with the
41,short,filtered-train-00001-of-00082,2628,041_short_filtered-train-00001-of-00082_r2628.wav,6229,16000,3.32,0.871,-18.35,without him.
42,medium,filtered-train-00001-of-00082,1274,042_medium_filtered-train-00001-of-00082_r1274.wav,4875,16000,9.76,0.9016,-19.68,not only saysecure a property but credate a sayspace where memoriesays are made it'says not jusayst about wallsays and doorsays it'says about building a home that
43,hi_quality,filtered-train-00001-of-00082,1344,043_hi_quality_filtered-train-00001-of-00082_r1344.wav,4945,16000,14.56,0.9568,-21.55,had a long-standing history of I wouldn't say feud but we call it the Father and Son Affair but today the father's actually conquered um they are moving on to the semi-final stage but how you feeling now as I said earlier we are very ecstatic there's the feeling of
44,long,filtered-train-00001-of-00082,3283,044_long_filtered-train-00001-of-00082_r3283.wav,6884,16000,14.68,0.8997,-22.14,challenge us when we suggested he should not be saying that the matter is being blown out of proportion. As for his e you know knowledge in in the help that they will need no one has questioned that and that is why I'm surprised about
45,borderline,filtered-train-00001-of-00082,922,045_borderline_filtered-train-00001-of-00082_r922.wav,4523,16000,13.84,0.8537,-19.41,"Ara issues a final warning to pedestrian traders operating on walkways and busy streets, giving them until Tuesday, May 20 to seize their activities or phase removal."
46,short,filtered-train-00001-of-00082,2534,046_short_filtered-train-00001-of-00082_r2534.wav,6135,16000,3.6,0.8919,-23.33,am MFR Austri.
47,medium,filtered-train-00001-of-00082,636,047_medium_filtered-train-00001-of-00082_r636.wav,4237,16000,8.04,0.9689,-16.55,"difference with him, try as much as possible to resolve the differences and let us consist."
